Latitude,Longitude
39.9320579,32.7708730
39.9321299,32.7712070
39.9322080,32.7715601
39.9323411,32.7721180
39.9325630,32.7729869
39.9327590,32.7737741
39.9329410,32.7744809
39.9331110,32.7751520
39.9332250,32.7755800
39.9333439,32.7759820
39.9335611,32.7766349
39.9338670,32.7775610
39.9341450,32.7783200
39.9344140,32.7790890
39.9347009,32.7798951
39.9349440,32.7805990
39.9351581,32.7812219
39.9353980,32.7819039
39.9355850,32.7824220
39.9358180,32.7830980
39.9360350,32.7837230
39.9362689,32.7843821
39.9365449,32.7851620
39.9368050,32.7859120
39.9370230,32.7865220
39.9372610,32.7872080
39.9375389,32.7879910
39.9378070,32.7887600
39.9382460,32.7900970
39.9384639,32.7906920
39.9387020,32.7913490
39.9390040,32.7922009
39.9392830,32.7929340
39.9395570,32.7937330
39.9397991,32.7945169
39.9400110,32.7953740
39.9401689,32.7960251
39.9403200,32.7966949
39.9405000,32.7974779
39.9406550,32.7981330
39.9408459,32.7989650
39.9409979,32.7996161
39.9411480,32.8002809
39.9413631,32.8011240
39.9414980,32.8017690
39.9417070,32.8026820
39.9418840,32.8034520
39.9420640,32.8042089
39.9422590,32.8050440
39.9424330,32.8057949
39.9426320,32.8066369
39.9428190,32.8074271
39.9430009,32.8082120
39.9431630,32.8089340
39.9432941,32.8095210
39.9434320,32.8101330
39.9435830,32.8107870
39.9438090,32.8117520
39.9439870,32.8125141
39.9441790,32.8133079
39.9443490,32.8140670
39.9444990,32.8146831
39.9446430,32.8152679
39.9448390,32.8160399
39.9450060,32.8167110
39.9451760,32.8174090
39.9453569,32.8181410
39.9455410,32.8188870
39.9457260,32.8196240
39.9458530,32.8201529
39.9459350,32.8205919
39.9460020,32.8211359
39.9460289,32.8214940
39.9460370,32.8218320
39.9460349,32.8221221
39.9460200,32.8224839
39.9459820,32.8228790
39.9459370,32.8232270
39.9458930,32.8234861
39.9458469,32.8237360
39.9457890,32.8239800
39.9457080,32.8242890
39.9456140,32.8245749
39.9455130,32.8248660
39.9454000,32.8251509
39.9451899,32.8256151
39.9449480,32.8261281
39.9447980,32.8264421
39.9446439,32.8267690
39.9444370,32.8271890
39.9442510,32.8275461
39.9440330,32.8279701
39.9438129,32.8283770
39.9434811,32.8289880
39.9433000,32.8293040
39.9430510,32.8297519
39.9427980,32.8302190
39.9426079,32.8305681
39.9423541,32.8310199
39.9420951,32.8315080
39.9418020,32.8320280
39.9415590,32.8324761
39.9413160,32.8329090
39.9410819,32.8333350
39.9407960,32.8338551
39.9405490,32.8342930
39.9403269,32.8347101
39.9400600,32.8352089
39.9397730,32.8357441
39.9395359,32.8361890
39.9392820,32.8366700
39.9390350,32.8371390
39.9388041,32.8375570
39.9385590,32.8380260
39.9383260,32.8384600
39.9381259,32.8388330
39.9379600,32.8391480
39.9378420,32.8393420
39.9377200,32.8395170
39.9376150,32.8396490
39.9375320,32.8397420
39.9374180,32.8398520
39.9372910,32.8399790
39.9371950,32.8400840
39.9371021,32.8401880
39.9369530,32.8403819
39.9368189,32.8405740
39.9365930,32.8409090
39.9365060,32.8410389
39.9364000,32.8412130
39.9361280,32.8417350
39.9359029,32.8421621
39.9356320,32.8426450
39.9353260,32.8432080
39.9351383,32.8435506
39.9351120,32.8435260
39.9352210,32.8437340
39.9348701,32.8434227
39.9347792,32.8435969
39.9346569,32.8438315
39.9343054,32.8444950
39.9339872,32.8450628
39.9338552,32.8452748
39.9337066,32.8454938
39.9335772,32.8456864
39.9333761,32.8459965
39.9333281,32.8460616
39.9332475,32.8461711
39.9330864,32.8464063
39.9330457,32.8464867
39.9328914,32.8467657
39.9327899,32.8469382
39.9327306,32.8470358
39.9326744,32.8471234
39.9326038,32.8472168
39.9324836,32.8473662
39.9323813,32.8474740
39.9322054,32.8476604
39.9320893,32.8477748
39.9319935,32.8478903
39.9319430,32.8479461
39.9316372,32.8482831
39.9310232,32.8489564
39.9307326,32.8492794
39.9303337,32.8497703
39.9301078,32.8501236
39.9299774,32.8503771
39.9298512,32.8506293
39.9297508,32.8508647
39.9296182,32.8512224
39.9295335,32.8514840
39.9294563,32.8517538
39.9294460,32.8517900
39.9293888,32.8520622
39.9293666,32.8522077
39.9293308,32.8524445
39.9292961,32.8528044
39.9292790,32.8529801
39.9292590,32.8531985
39.9292520,32.8532670
39.9292245,32.8536014
39.9292153,32.8538695
39.9292096,32.8539864
39.9292040,32.8541030
39.9291669,32.8548050
39.9291348,32.8554115
39.9291282,32.8555602
39.9291008,32.8564978
39.9290934,32.8567467
39.9291053,32.8572100
39.9291318,32.8578409
39.9291475,32.8582119
39.9291593,32.8588173
39.9291575,32.8593520
39.9291533,32.8594666
39.9291432,32.8596024
39.9291331,32.8597384
39.9291283,32.8597996
39.9291235,32.8598607
39.9291162,32.8599470
39.9291090,32.8600328
39.9291043,32.8600705
39.9290680,32.8604305
39.9290202,32.8607883
39.9288726,32.8618160
39.9288313,32.8621327
39.9287948,32.8624953
39.9287658,32.8628482
39.9287484,32.8631786
39.9287419,32.8636362
39.9287524,32.8642473
39.9287693,32.8647212
39.9287917,32.8652614
39.9288115,32.8659389
39.9288674,32.8671457
39.9288707,32.8672394
39.9288738,32.8673325
39.9288756,32.8673885
39.9288772,32.8674446
39.9288791,32.8674984
39.9288808,32.8675525
39.9288899,32.8677509
39.9288916,32.8677904
39.9288946,32.8678600
39.9288978,32.8679293
39.9289025,32.8680369
39.9289202,32.8685552
39.9289571,32.8690151
39.9289972,32.8693149
39.9290832,32.8698129
39.9291920,32.8701983
39.9293163,32.8705843
39.9294635,32.8709446
39.9295655,32.8711372
39.9295876,32.8711786
39.9297425,32.8714545
39.9299509,32.8717578
39.9302434,32.8721125
39.9306762,32.8725753
39.9309603,32.8728543
39.9319600,32.8738523
39.9320258,32.8739182
39.9322864,32.8741775
39.9323963,32.8743076
39.9325132,32.8744505
39.9325314,32.8744727
39.9326295,32.8746291
39.9326652,32.8746859
39.9328501,32.8750180
39.9330451,32.8753947
39.9334120,32.8761025
39.9334658,32.8761944
39.9335603,32.8763555
39.9337755,32.8767223
39.9337785,32.8767283
39.9340128,32.8771824
39.9340806,32.8773115
39.9342000,32.8775393
39.9342719,32.8776628
39.9344344,32.8778946
39.9344955,32.8779820
39.9346866,32.8782289
39.9347696,32.8783361
39.9349997,32.8786463
39.9354108,32.8791787
39.9357507,32.8795453
39.9360484,32.8798420
39.9363289,32.8800839
39.9365469,32.8802633
39.9367873,32.8804526
39.9370600,32.8806420
39.9372196,32.8807456
39.9372749,32.8807828
39.9373302,32.8808199
39.9373315,32.8808211
39.9378720,32.8811501
39.9381156,32.8813055
39.9382881,32.8814170
39.9386496,32.8816943
39.9389263,32.8819257
39.9391859,32.8821720
39.9393724,32.8823664
39.9395405,32.8825629
39.9397261,32.8827986
39.9398772,32.8830124
39.9400720,32.8833281
39.9400769,32.8833362
39.9402155,32.8835683
39.9404537,32.8839264
39.9406217,32.8843157
39.9407605,32.8847004
39.9408337,32.8849244
39.9409135,32.8851558
39.9410518,32.8856696
39.9411517,32.8861222
39.9411546,32.8861353
39.9412235,32.8866318
39.9412679,32.8871612
39.9412865,32.8877827
39.9412742,32.8883943
39.9412434,32.8887642
39.9411908,32.8891545
39.9411285,32.8895138
39.9410370,32.8899236
39.9409176,32.8903509
39.9408083,32.8906857
39.9407062,32.8909505
39.9406446,32.8910989
39.9406392,32.8911206
39.9405011,32.8914418
39.9403468,32.8917640
39.9401352,32.8921608
39.9401141,32.8921948
39.9399157,32.8924837
39.9396523,32.8928406
39.9394280,32.8931168
39.9393560,32.8931945
39.9391457,32.8934213
39.9388311,32.8937051
